id,WorkstationGroupID,begin_date_time,end_date_time,OperatorID,basket_size,t_cash,t_card,amount
1,1,2017-12-07T14:23:23,2017-12-07T14:24:36,101,23,TRUE,FALSE,112.71
2,1,2017-12-07T14:25:09,2017-12-07T14:27:00,101,29,TRUE,FALSE,54.76
3,1,2017-12-07T14:27:28,2017-12-07T14:27:48,101,3,TRUE,FALSE,14.77
4,1,2017-12-07T14:28:04,2017-12-07T14:28:29,101,12,TRUE,FALSE,37.88
5,1,2017-12-07T14:29:40,2017-12-07T14:30:32,101,7,TRUE,FALSE,115.34
6,1,2017-12-07T14:31:03,2017-12-07T14:32:01,101,12,FALSE,TRUE,232.89
7,1,2017-12-07T14:32:25,2017-12-07T14:36:03,101,36,TRUE,FALSE,183.15
8,1,2017-12-07T14:36:32,2017-12-07T14:37:15,101,10,TRUE,FALSE,39.68
9,1,2017-12-07T14:37:31,2017-12-07T14:38:07,101,15,TRUE,FALSE,44.53
10,1,2017-12-07T14:38:21,2017-12-07T14:39:12,101,15,FALSE,TRUE,42.73
11,1,2017-12-07T14:39:21,2017-12-07T14:39:59,101,8,FALSE,TRUE,81.42
12,1,2017-12-07T14:40:19,2017-12-07T14:41:35,101,19,FALSE,TRUE,108.98
13,1,2017-12-07T14:41:50,2017-12-07T14:42:04,101,4,TRUE,FALSE,20.32
14,1,2017-12-07T14:42:23,2017-12-07T14:43:31,101,13,TRUE,FALSE,44.3
15,1,2017-12-07T14:43:47,2017-12-07T14:43:54,101,2,TRUE,FALSE,35.98
16,1,2017-12-07T14:44:16,2017-12-07T14:45:50,101,25,FALSE,TRUE,83.89
17,1,2017-12-07T14:45:57,2017-12-07T14:47:18,101,31,FALSE,TRUE,84.07
18,1,2017-12-07T14:47:35,2017-12-07T14:48:59,101,24,FALSE,TRUE,93.34
19,1,2017-12-07T14:49:08,2017-12-07T14:49:55,101,18,TRUE,FALSE,109.28
20,1,2017-12-07T14:50:15,2017-12-07T14:51:27,101,26,TRUE,FALSE,86.91
21,1,2017-12-07T14:51:44,2017-12-07T14:52:12,101,6,FALSE,TRUE,20.35
22,1,2017-12-07T14:52:18,2017-12-07T14:52:57,101,8,TRUE,FALSE,41.35
23,1,2017-12-07T14:53:11,2017-12-07T14:53:41,101,14,TRUE,FALSE,84.85
24,1,2017-12-07T14:53:54,2017-12-07T14:57:06,101,38,TRUE,FALSE,157.9
25,1,2017-12-07T14:57:21,2017-12-07T14:58:02,101,17,TRUE,FALSE,55.99
26,1,2017-12-07T14:58:16,2017-12-07T14:58:46,101,10,FALSE,TRUE,28.21
27,1,2017-12-07T14:59:03,2017-12-07T15:00:23,101,24,FALSE,TRUE,176.44
28,1,2017-12-07T15:00:38,2017-12-07T15:01:36,101,13,FALSE,TRUE,119.85
29,1,2017-12-07T15:01:44,2017-12-07T15:02:45,101,16,FALSE,TRUE,55.14
30,1,2017-12-07T15:02:53,2017-12-07T15:04:10,101,12,TRUE,FALSE,86.3
31,1,2017-12-07T15:05:04,2017-12-07T15:05:35,101,1,TRUE,FALSE,2.77
32,1,2017-12-07T15:07:05,2017-12-07T15:09:06,101,34,TRUE,FALSE,302.94
33,1,2017-12-07T15:10:13,2017-12-07T15:11:02,101,10,TRUE,FALSE,14.57
34,1,2017-12-07T15:11:24,2017-12-07T15:12:08,101,6,FALSE,TRUE,14.49
35,1,2017-12-07T15:12:16,2017-12-07T15:13:05,101,8,FALSE,TRUE,25.51
36,1,2017-12-07T15:13:19,2017-12-07T15:16:07,101,16,FALSE,TRUE,180.49
37,1,2017-12-07T15:16:19,2017-12-07T15:18:04,101,32,FALSE,TRUE,96.11
38,1,2017-12-07T15:18:16,2017-12-07T15:18:38,101,4,TRUE,FALSE,10.15
39,1,2017-12-07T15:18:48,2017-12-07T15:19:10,101,8,TRUE,FALSE,23.82
40,1,2017-12-07T15:19:38,2017-12-07T15:20:53,101,16,FALSE,TRUE,83.99
41,1,2017-12-07T15:21:00,2017-12-07T15:21:50,101,4,TRUE,FALSE,20.89
42,1,2017-12-07T15:22:09,2017-12-07T15:22:59,101,15,TRUE,FALSE,54.77
43,1,2017-12-07T15:23:15,2017-12-07T15:23:35,101,4,TRUE,FALSE,24.16
44,1,2017-12-07T15:24:16,2017-12-07T15:25:36,101,20,TRUE,FALSE,104.53
45,1,2017-12-07T15:25:48,2017-12-07T15:25:52,101,1,TRUE,FALSE,2.23
46,1,2017-12-07T15:26:02,2017-12-07T15:27:15,101,33,FALSE,FALSE,125.89
47,1,2017-12-07T15:27:34,2017-12-07T15:28:18,101,8,FALSE,TRUE,35.72
48,1,2017-12-07T15:28:28,2017-12-07T15:29:55,101,27,FALSE,TRUE,91.47
49,1,2017-12-07T15:30:02,2017-12-07T15:30:32,101,3,FALSE,TRUE,50.05
50,1,2017-12-07T15:30:42,2017-12-07T15:31:11,101,10,TRUE,FALSE,47.86
51,1,2017-12-07T15:31:29,2017-12-07T15:32:11,101,7,FALSE,TRUE,82.03
52,1,2017-12-07T15:32:27,2017-12-07T15:33:12,101,10,FALSE,TRUE,100.14
53,1,2017-12-07T15:33:23,2017-12-07T15:35:00,101,39,FALSE,TRUE,127.74
54,1,2017-12-07T15:35:08,2017-12-07T15:35:35,101,3,FALSE,TRUE,63.88
55,1,2017-12-07T15:35:42,2017-12-07T15:37:11,101,35,TRUE,FALSE,157.17
56,1,2017-12-07T15:37:29,2017-12-07T15:37:47,101,2,TRUE,FALSE,34.98
57,1,2017-12-07T15:38:00,2017-12-07T15:39:30,101,43,TRUE,FALSE,193.99
58,1,2017-12-07T15:39:46,2017-12-07T15:40:36,101,16,TRUE,FALSE,68.14
59,1,2017-12-07T15:40:53,2017-12-07T15:41:07,101,3,FALSE,TRUE,17.97
60,1,2017-12-07T15:41:18,2017-12-07T15:42:12,101,11,FALSE,TRUE,42.76
61,1,2017-12-07T15:42:25,2017-12-07T15:43:02,101,10,FALSE,TRUE,33.83
62,1,2017-12-07T15:43:16,2017-12-07T15:43:50,101,12,TRUE,FALSE,85.36
63,1,2017-12-07T15:44:11,2017-12-07T15:44:30,101,4,FALSE,TRUE,11.24
64,1,2017-12-07T15:44:40,2017-12-07T15:45:25,101,15,TRUE,FALSE,170.43
65,1,2017-12-07T15:45:46,2017-12-07T15:47:26,101,38,TRUE,FALSE,339.64
66,1,2017-12-07T15:48:05,2017-12-07T15:49:35,101,29,FALSE,FALSE,118.33
67,1,2017-12-07T15:49:51,2017-12-07T15:50:08,101,1,FALSE,TRUE,8.69
68,1,2017-12-07T15:50:20,2017-12-07T15:50:42,101,8,TRUE,FALSE,49.74
69,1,2017-12-07T15:51:41,2017-12-07T15:52:22,101,10,TRUE,FALSE,112.34
70,1,2017-12-07T15:52:41,2017-12-07T15:54:19,101,22,FALSE,TRUE,72.67
71,1,2017-12-07T15:54:52,2017-12-07T15:55:34,101,7,FALSE,TRUE,37.2
72,1,2017-12-07T15:55:46,2017-12-07T15:56:25,101,25,FALSE,TRUE,43.6
73,1,2017-12-07T15:56:35,2017-12-07T15:56:50,101,5,TRUE,FALSE,28.43
74,1,2017-12-07T15:57:03,2017-12-07T15:57:43,101,6,FALSE,TRUE,35.44
75,1,2017-12-07T15:57:59,2017-12-07T15:59:06,101,12,TRUE,FALSE,72.72
76,1,2017-12-07T15:59:33,2017-12-07T15:59:55,101,10,TRUE,FALSE,39.95
77,1,2017-12-07T16:00:18,2017-12-07T16:02:01,101,9,TRUE,FALSE,39.28
78,1,2017-12-07T16:02:17,2017-12-07T16:02:38,101,7,FALSE,FALSE,22.87
79,1,2017-12-07T16:02:56,2017-12-07T16:03:55,101,4,FALSE,TRUE,109.26
80,1,2017-12-07T16:04:07,2017-12-07T16:05:08,101,15,FALSE,TRUE,81.18
81,1,2017-12-07T16:05:22,2017-12-07T16:06:01,101,12,FALSE,TRUE,44.62
82,1,2017-12-07T16:06:27,2017-12-07T16:07:32,101,18,FALSE,TRUE,127.1
83,1,2017-12-07T16:07:41,2017-12-07T16:09:30,101,41,FALSE,TRUE,178.87
84,1,2017-12-07T16:09:41,2017-12-07T16:10:40,101,13,FALSE,TRUE,60.9
85,1,2017-12-07T16:10:56,2017-12-07T16:12:21,101,25,FALSE,TRUE,61.59
86,1,2017-12-07T16:12:33,2017-12-07T16:13:22,101,11,TRUE,FALSE,59.96
87,1,2017-12-07T16:13:38,2017-12-07T16:14:00,101,6,TRUE,FALSE,34.03
88,1,2017-12-07T16:14:19,2017-12-07T16:15:34,101,22,TRUE,FALSE,81.79
89,1,2017-12-07T16:17:05,2017-12-07T16:17:59,101,26,FALSE,TRUE,87.59
90,1,2017-12-07T16:18:10,2017-12-07T16:18:28,101,6,TRUE,FALSE,38.08
91,1,2017-12-07T16:18:45,2017-12-07T16:19:14,101,9,TRUE,FALSE,38.78
92,1,2017-12-07T16:19:35,2017-12-07T16:20:08,101,10,TRUE,FALSE,44.39
93,1,2017-12-07T16:20:31,2017-12-07T16:21:17,101,13,FALSE,TRUE,58.44
94,1,2017-12-07T16:21:37,2017-12-07T16:24:19,101,55,FALSE,TRUE,275.96
95,1,2017-12-07T16:24:35,2017-12-07T16:25:10,101,5,TRUE,FALSE,26.95
96,1,2017-12-07T17:07:48,2017-12-07T17:08:39,101,9,TRUE,FALSE,32.54
97,1,2017-12-07T17:10:51,2017-12-07T17:11:33,101,9,TRUE,FALSE,26.59
98,1,2017-12-07T17:11:47,2017-12-07T17:12:37,101,20,TRUE,FALSE,104.82
99,1,2017-12-07T17:12:51,2017-12-07T17:13:58,101,12,FALSE,TRUE,67.62
100,1,2017-12-07T17:14:09,2017-12-07T17:16:27,101,32,TRUE,FALSE,100.68
101,1,2017-12-07T17:16:43,2017-12-07T17:19:00,101,34,FALSE,TRUE,228.35
102,1,2017-12-07T17:19:15,2017-12-07T17:21:09,101,40,FALSE,TRUE,162.35
103,1,2017-12-07T17:21:39,2017-12-07T17:22:25,101,10,TRUE,FALSE,124.27
104,1,2017-12-07T17:22:41,2017-12-07T17:23:12,101,10,TRUE,FALSE,18
105,1,2017-12-07T17:23:21,2017-12-07T17:25:03,101,40,TRUE,FALSE,105.12
106,1,2017-12-07T17:25:19,2017-12-07T17:26:13,101,15,FALSE,TRUE,32.96
107,1,2017-12-07T17:26:20,2017-12-07T17:27:41,101,32,FALSE,TRUE,142.18
108,1,2017-12-07T17:28:03,2017-12-07T17:28:54,101,18,TRUE,FALSE,148.62
109,1,2017-12-07T17:29:23,2017-12-07T17:29:42,101,9,TRUE,FALSE,28.08
110,1,2017-12-07T17:30:06,2017-12-07T17:30:38,101,2,TRUE,FALSE,11.57
